uem,inc_uem,dindiza,inc_dindiza,massangena,inc_massangena,pomene,inc_pomene,maravia,inc_maravia,nhangau,inc_nhangau,nhapassa_1,inc_nhapassa_1,lugela_1,inc_lugela_1,chomba,inc_chomba,nanhupo_1,inc_nanhupo_1,massangulo,inc_massangulo_1
0.925,-0.002,0.647,-0.647,0.746,0.159,0.761,0.062,0.167,-0.019,0.958,-0.141,0.407,0.142,0.211,-0.161,0.744,-0.019,0.822,0.135,0.686,0.049
0.923,-0.002,0.921,-0.921,0.905,-0.273,0.824,-0.125,0.148,-0.006,0.817,0.16,0.549,0.201,0.05,-0.032,0.725,0.002,0.957,-0.957,0.735,-0.054
0.922,0.009,0.739,-0.083,0.632,-0.019,0.698,-0.039,0.141,0.006,0.978,-0.241,0.75,-0.75,0.018,-0.018,0.726,-0.055,0.835,-0.171,0.681,0.232
0.931,-0.004,0.656,-0.202,0.613,-0.086,0.659,-0.045,0.147,0.023,0.737,0.114,0.843,-0.083,0.171,-0.152,0.672,-0.086,0.664,-0.407,0.913,-0.075
0.927,-0.004,0.454,0.525,0.526,0.069,0.615,0.061,0.17,0.056,0.851,0.149,0.76,-0.76,0.018,-0.018,0.586,-0.053,0.257,0.347,0.838,0.053
0.923,0.001,0.979,-0.979,0.595,0.066,0.675,0.229,0.226,0.101,,-0.311,0.703,0.14,0.001,0.002,0.533,-0.029,0.604,0.117,0.891,0.058
0.924,0.001,0.806,-0.806,0.661,0.053,0.905,0.047,0.327,0.234,0.69,0.192,0.843,-0.289,0.002,-0.002,0.504,-0.053,0.721,0.003,0.949,-0.349
0.924,-0.002,0.861,-0.861,0.714,0.091,0.952,-0.183,0.562,0.448,0.882,-0.082,0.554,0.263,0.01,0.238,0.451,-0.057,0.724,-0.104,0.6,0.111
0.923,-0.002,0.957,-0.49,0.804,-0.021,0.769,-0.108,,-1.009,0.8,0.073,0.817,0.179,0.247,-0.247,0.394,-0.059,0.62,0.013,0.711,0.167
0.921,0.001,0.467,-0.467,0.784,-0.784,0.661,0.077,0.689,-0.174,0.872,-0.087,0.996,-0.996,0.016,-0.016,0.335,-0.089,0.633,0.156,0.877,-0.255
0.922,-0.004,0.86,-0.225,0.798,0.014,0.737,-0.108,0.515,-0.233,0.785,-0.149,0.956,-0.956,0.002,-0.002,0.246,-0.092,0.789,-0.273,0.622,-0.17
0.918,0.005,0.636,-0.052,0.811,-0.195,0.63,-0.069,0.282,-0.067,0.637,-0.18,0.785,0.189,0.001,0.36,0.153,-0.073,0.516,0.123,0.452,0.395
0.923,0.007,0.583,-0.061,0.616,0.1,0.561,-0.077,0.215,0.167,0.457,-0.021,0.974,-0.974,0.361,-0.361,0.08,-0.051,0.64,-0.153,0.847,-0.21
0.93,0.001,0.522,-0.003,0.716,-0.08,0.484,0.198,0.381,,0.436,-0.044,0.825,-0.305,0.007,0.334,0.03,-0.028,0.487,0.337,0.637,0.066
0.931,-0.001,0.519,-0.519,0.635,-0.131,0.681,0.134,0.522,-0.522,0.392,-0.099,0.52,0.244,0.341,-0.341,0.002,-0.002,0.824,0.032,0.703,-0.703
